 ,Area,Angle,Length
1,0.004,-90,1.525
2,0.004,90,1.502
3,0.004,90,1.427
4,0.004,90,1.352
5,0.004,90,1.251
6,0.003,90,1.161
7,0.003,90,1.089
8,0.003,90,1.014
9,0.003,90,0.942
10,0.003,90,0.870
11,0.002,90,0.826
12,0.002,90,0.763
13,0.002,90,0.731
14,0.002,90,0.696
15,0.002,90,0.664
16,0.002,90,0.624
17,0.002,90,0.598
18,0.002,90,0.572
19,0.002,90,0.546
20,0.002,90,0.523
21,0.001,90,0.497
22,0.001,90,0.474
23,0.001,90,0.459
24,0.001,90,0.433
25,0.001,90,0.425
26,0.001,90,0.413
27,0.001,90,0.390
28,0.001,90,0.378
29,0.001,90,0.367
30,0.001,90,0.352
31,0.001,90,0.345
32,9.599E-4,90,0.329
33,9.349E-4,90,0.321
