xflr5 v6.61											
											
 Calculated polar for: NACA 0008											
											
 1 1 Reynolds number fixed          Mach number fixed         											
											
 xtrf =   1.000 (top)        1.000 (bottom)											
 Mach =   0.050     Re =     0.300 e 6     Ncrit =   9.000											
											
alpha	CL	CD	CDp	Cm	Top Xtr	Bot Xtr	Cpmin	Chinge	XCp		
-10	-0.7162	0.0966	0.0938	0.0117	1	0.0282	-2.9927	0	0	0	0.26
-9.8	-0.7251	0.09079	0.08802	0.0085	1	0.0268	-3.1359	0	0	0	0.2554
-9.6	-0.7361	0.08406	0.08132	0.0038	1	0.0256	-3.3245	0	0	0	0.249
-9.4	-0.7522	0.074	0.07128	-0.0063	1	0.0247	-3.6295	0	0	0	0.2355
-9.2	-0.7731	0.0665	0.06368	-0.0128	1	0.0241	-3.8786	0	0	0	0.2275
-9	-0.7976	0.05903	0.05599	-0.0154	1	0.0228	-4.2076	0	0	0	0.2248
-8.8	-0.8459	0.04338	0.03935	-0.0156	1	0.0188	-5.3253	0	0	0	0.2253
-8.6	-0.8424	0.03993	0.03558	-0.0146	1	0.0185	-5.346	0	0	0	0.2265
-8.4	-0.8376	0.03641	0.03173	-0.0135	1	0.0185	-5.3566	0	0	0	0.2278
-8.2	-0.8316	0.03276	0.02771	-0.0123	1	0.0187	-5.3665	0	0	0	0.2293
-8	-0.823	0.02947	0.02408	-0.0111	1	0.0193	-5.3352	0	0	0	0.2307
-7.8	-0.81	0.02726	0.02165	-0.0102	1	0.0202	-5.2075	0	0	0	0.2317
-7.6	-0.7944	0.02581	0.02004	-0.0095	1	0.0212	-5.02	0	0	0	0.2326
-7.4	-0.7777	0.02453	0.01861	-0.0088	1	0.0224	-4.8246	0	0	0	0.2334
-7.2	-0.7604	0.02324	0.01714	-0.008	1	0.0238	-4.6358	0	0	0	0.2342
-7	-0.7418	0.02251	0.01631	-0.0075	1	0.0262	-4.4286	0	0	0	0.2349
-6.8	-0.7228	0.02177	0.01544	-0.0069	1	0.0287	-4.2604	0	0	0	0.2356
-6.6	-0.7036	0.02092	0.01443	-0.0063	1	0.0305	-4.1082	0	0	0	0.2364
-6.4	-0.6832	0.0207	0.01411	-0.0058	1	0.0318	-3.9098	0	0	0	0.237
-6.2	-0.6692	0.01735	0.01046	-0.0045	1	0.0359	-3.8907	0	0	0	0.2388
-6	-0.6506	0.01655	0.00958	-0.0039	1	0.0398	-3.6986	0	0	0	0.2397
-5.8	-0.6308	0.01621	0.00921	-0.0035	1	0.0442	-3.4848	0	0	0	0.2403
-5.6	-0.611	0.01577	0.0087	-0.003	1	0.0477	-3.2865	0	0	0	0.2411
-5.4	-0.5907	0.01547	0.00833	-0.0025	1	0.0497	-3.0853	0	0	0	0.2419
-5.2	-0.5741	0.01406	0.00682	-0.0015	1	0.0542	-2.9434	0	0	0	0.2436
-5	-0.5554	0.01348	0.00623	-0.0009	1	0.0588	-2.7535	0	0	0	0.2448
-4.8	-0.5361	0.01306	0.00578	-0.0003	1	0.0617	-2.5617	0	0	0	0.2459
-4.6	-0.5168	0.01264	0.00531	0.0003	1	0.0636	-2.3783	0	0	0	0.2473
-4.4	-0.4976	0.01225	0.00486	0.001	1	0.0655	-2.2125	0	0	0	0.2487
-4.2	-0.4782	0.01189	0.00441	0.0016	1	0.0677	-2.0631	0	0	0	0.2502
-4	-0.4586	0.01162	0.00409	0.0022	1	0.0703	-1.9151	0	0	0	0.2517
-3.8	-0.4397	0.01113	0.00358	0.0029	1	0.0782	-1.7843	0	0	0	0.2536
-3.6	-0.4217	0.01039	0.00312	0.0036	1	0.1265	-1.6626	0	0	0	0.2557
-3.4	-0.405	0.00948	0.0028	0.0042	1	0.2522	-1.5523	0	0	0	0.2577
-3.2	-0.3867	0.00897	0.00262	0.0047	1	0.3313	-1.4402	0	0	0	0.2596
-3	-0.368	0.00857	0.00249	0.0053	1	0.3979	-1.3414	0	0	0	0.2618
-2.8	-0.3492	0.00823	0.00236	0.0058	1	0.4585	-1.2508	0	0	0	0.2643
-2.6	-0.3302	0.00793	0.00228	0.0064	1	0.515	-1.1721	0	0	0	0.2672
-2.4	-0.3113	0.00764	0.00222	0.0071	1	0.5737	-1.1042	0	0	0	0.2706
-2.2	-0.292	0.00741	0.00218	0.0077	1	0.6234	-1.0362	0	0	0	0.2744
-2	-0.2728	0.00719	0.00217	0.0084	1	0.6738	-0.9689	0	0	0	0.2789
-1.8	-0.2539	0.00699	0.00218	0.0093	1	0.7263	-0.9026	0	0	0	0.2847
-1.6	-0.2351	0.00683	0.00221	0.0102	1	0.7749	-0.8374	0	0	0	0.2918
-1.4	-0.2166	0.00673	0.00226	0.0114	1	0.8212	-0.7739	0	0	0	0.3007
-1.2	-0.1988	0.00669	0.00237	0.0128	1	0.8709	-0.7117	0	0	0	0.3127
-1	-0.1787	0.00674	0.00253	0.0139	1	0.9215	-0.6467	0	0	0	0.3264
-0.8	-0.1477	0.00685	0.00267	0.0126	1	0.9587	-0.5668	0	0	0	0.3338
-0.6	-0.1084	0.00695	0.00275	0.0092	1	0.9783	-0.477	0	0	0	0.3335
-0.4	-0.0692	0.007	0.00278	0.0056	1	0.9887	-0.3895	0	0	0	0.3298
-0.2	-0.0283	0.00703	0.00279	0.0016	1	0.9955	-0.317	0	0	0	0.3057
0	0	0.00703	0.0028	0	1	1	-0.2831	0	0	0	0.4117
0.2	0.0283	0.00703	0.00279	-0.0016	0.9955	1	-0.317	0	0	0	0.3056
0.4	0.0692	0.007	0.00278	-0.0056	0.9887	1	-0.3895	0	0	0	0.3298
0.6	0.1084	0.00695	0.00275	-0.0092	0.9783	1	-0.477	0	0	0	0.3334
0.8	0.1477	0.00685	0.00267	-0.0126	0.9587	1	-0.5667	0	0	0	0.3338
1	0.1787	0.00674	0.00253	-0.0139	0.9215	1	-0.6467	0	0	0	0.3264
1.2	0.1988	0.00668	0.00237	-0.0128	0.8709	1	-0.7117	0	0	0	0.3127
1.4	0.2166	0.00673	0.00225	-0.0113	0.8212	1	-0.7738	0	0	0	0.3007
1.6	0.2351	0.00683	0.00221	-0.0102	0.775	1	-0.8373	0	0	0	0.2917
1.8	0.2539	0.00699	0.00218	-0.0093	0.7263	1	-0.9025	0	0	0	0.2846
2	0.2728	0.00719	0.00217	-0.0084	0.6738	1	-0.9688	0	0	0	0.2789
2.2	0.292	0.00741	0.00218	-0.0077	0.6235	1	-1.0361	0	0	0	0.2743
2.4	0.3112	0.00764	0.00222	-0.0071	0.5738	1	-1.1042	0	0	0	0.2705
2.6	0.3301	0.00793	0.00228	-0.0064	0.5151	1	-1.172	0	0	0	0.2671
2.8	0.3491	0.00823	0.00236	-0.0058	0.4585	1	-1.2507	0	0	0	0.2643
3	0.368	0.00857	0.00249	-0.0053	0.3979	1	-1.3412	0	0	0	0.2618
3.2	0.3867	0.00897	0.00262	-0.0047	0.3314	1	-1.4401	0	0	0	0.2596
3.4	0.4049	0.00948	0.0028	-0.0042	0.2522	1	-1.5522	0	0	0	0.2576
3.6	0.4217	0.01039	0.00312	-0.0036	0.1267	1	-1.6624	0	0	0	0.2557
3.8	0.4396	0.01113	0.00358	-0.0029	0.0782	1	-1.7841	0	0	0	0.2536
4	0.4585	0.01162	0.00409	-0.0022	0.0703	1	-1.9149	0	0	0	0.2517
4.2	0.4781	0.01189	0.00441	-0.0016	0.0677	1	-2.063	0	0	0	0.2502
4.4	0.4975	0.01225	0.00486	-0.001	0.0655	1	-2.2123	0	0	0	0.2487
4.6	0.5168	0.01264	0.0053	-0.0003	0.0636	1	-2.3782	0	0	0	0.2472
4.8	0.5361	0.01306	0.00578	0.0003	0.0617	1	-2.5615	0	0	0	0.2459
5	0.5554	0.01348	0.00623	0.0009	0.0588	1	-2.7534	0	0	0	0.2448
5.2	0.5741	0.01406	0.00681	0.0015	0.0542	1	-2.9433	0	0	0	0.2436
5.4	0.5907	0.01547	0.00833	0.0025	0.0497	1	-3.0852	0	0	0	0.2419
5.6	0.611	0.01577	0.0087	0.003	0.0477	1	-3.2865	0	0	0	0.2411
5.8	0.6308	0.01621	0.00921	0.0035	0.0442	1	-3.4848	0	0	0	0.2403
6	0.6506	0.01655	0.00958	0.0039	0.0398	1	-3.6986	0	0	0	0.2397
6.2	0.6692	0.01735	0.01046	0.0045	0.0359	1	-3.8908	0	0	0	0.2388
6.4	0.6832	0.02069	0.01411	0.0058	0.0318	1	-3.9099	0	0	0	0.237
