xflr5 v6.61											
											
 Calculated polar for: SD7032-099-88											
											
 1 1 Reynolds number fixed          Mach number fixed         											
											
 xtrf =   1.000 (top)        1.000 (bottom)											
 Mach =   0.050     Re =     0.300 e 6     Ncrit =   9.000											
											
alpha	CL	CD	CDp	Cm	Top Xtr	Bot Xtr	Cpmin	Chinge	XCp		
-10	-0.0496	0.04732	0.04503	-0.0599	0.9772	0.0285	-1.0067	0	0	0	-0.95
-9.8	-0.0371	0.04354	0.04125	-0.062	0.9754	0.0297	-0.9794	0	0	0	-1.4091
-9.6	-0.0221	0.04114	0.03885	-0.0637	0.9736	0.0307	-0.9166	0	0	0	-2.6145
-9.4	-0.0095	0.0389	0.03661	-0.0656	0.9718	0.0316	-0.879	0	0	0	-6.5958
-9.2	-0.0032	0.03714	0.03485	-0.0666	0.9679	0.0325	-0.868	0	0	0	-20.1454
-9	0.0008	0.03548	0.0332	-0.0674	0.963	0.0334	-0.8686	0	0	0	85.8689
-8.8	0.005	0.03369	0.03141	-0.0685	0.9589	0.0343	-0.8759	0	0	0	13.8949
-8.6	0.0087	0.03182	0.02955	-0.0698	0.9553	0.0354	-0.8904	0	0	0	8.1933
-8.4	0.0112	0.02996	0.02769	-0.071	0.952	0.0365	-0.9127	0	0	0	6.535
-8.2	0.0118	0.02818	0.02591	-0.072	0.9489	0.0376	-0.9431	0	0	0	6.3309
-8	0.0092	0.02662	0.02436	-0.0725	0.9439	0.0386	-0.9813	0	0	0	8.1285
-7.8	0.0058	0.025	0.02275	-0.0732	0.9391	0.0397	-1.0274	0	0	0	12.9338
-7.6	0.001	0.02339	0.02114	-0.0742	0.9354	0.0408	-1.0835	0	0	0	74.6283
-7.4	-0.0029	0.02217	0.01992	-0.0754	0.9329	0.0421	-1.131	0	0	0	-25.7203
-7.2	-0.0097	0.0204	0.01815	-0.0763	0.931	0.0424	-1.1818	0	0	0	-7.575
-7	-0.019	0.01838	0.01612	-0.0771	0.9297	0.0424	-1.2387	0	0	0	-3.7995
-6.8	-0.0292	0.0164	0.01415	-0.078	0.9272	0.0425	-1.3021	0	0	0	-2.4248
-6.6	-0.0422	0.01433	0.01208	-0.0795	0.9238	0.0424	-1.3795	0	0	0	-1.6351
-6.4	-0.0587	0.01219	0.00993	-0.0807	0.9172	0.042	-1.4577	0	0	0	-1.1279
-6.2	-0.0777	0.00981	0.00754	-0.0804	0.9096	0.0401	-1.5184	0	0	0	-0.786
-6	-0.0879	0.00785	0.00549	-0.0811	0.9042	0.0403	-1.5864	0	0	0	-0.6733
-5.8	-0.0857	0.00708	0.00451	-0.0817	0.898	0.0426	-1.6098	0	0	0	-0.7052
-5.6	-0.0847	0.00548	0.00278	-0.0816	0.8893	0.0428	-1.6329	0	0	0	-0.7145
-5.4	-0.0824	0.00407	0.00122	-0.0808	0.8822	0.0428	-1.6498	0	0	0	-0.7309
-4.6	-0.0528	0.01895	0.01331	-0.1014	0.9334	0.022	-2.9842	0	0	0	-1.699
-4.4	-0.0258	0.01774	0.01192	-0.1022	0.9302	0.0236	-2.8875	0	0	0	-3.7734
-4.2	0.0018	0.01682	0.01084	-0.103	0.9272	0.0257	-2.7539	0	0	0	59.8578
-4	0.0253	0.01669	0.01059	-0.103	0.9225	0.0285	-2.5717	0	0	0	4.3757
-3.8	0.043	0.01469	0.00839	-0.102	0.9156	0.0306	-2.5472	0	0	0	2.6511
-3.6	0.0655	0.01376	0.00741	-0.1017	0.9101	0.0335	-2.4217	0	0	0	1.8227
-3.4	0.0893	0.01314	0.00673	-0.1017	0.9056	0.0371	-2.2666	0	0	0	1.4017
-3.2	0.1131	0.01273	0.00625	-0.1016	0.9014	0.0412	-2.0938	0	0	0	1.1577
