J         CT        CP        eta
0.122662  0.114362  0.048853  0.287141
0.153127  0.113119  0.049252  0.351693
0.177380  0.111361  0.049442  0.399523
0.203945  0.107804  0.050326  0.436868
0.232260  0.104346  0.050554  0.479404
0.257686  0.101938  0.050874  0.516336
0.283557  0.099200  0.050943  0.552162
0.310427  0.095738  0.050887  0.584033
0.336619  0.091905  0.050495  0.612679
0.363694  0.088791  0.050467  0.639880
0.390313  0.085042  0.050024  0.663543
0.416802  0.081235  0.049425  0.685055
0.442210  0.077334  0.048630  0.703219
0.466367  0.073100  0.047491  0.717852
0.491970  0.069413  0.046561  0.733427
0.516916  0.065334  0.045358  0.744568
0.522668  0.065591  0.045555  0.752562
0.545871  0.061654  0.044188  0.761635
0.569314  0.057725  0.042835  0.767225
0.592940  0.053327  0.041082  0.769684
0.619578  0.048661  0.039208  0.768958
0.645727  0.043828  0.037058  0.763692
0.669390  0.039134  0.034867  0.751329
0.697456  0.033686  0.032158  0.730601
0.723401  0.028612  0.029505  0.701521
0.750210  0.023414  0.026681  0.658361
0.776078  0.017662  0.023359  0.586808
0.803037  0.011599  0.019761  0.471376
0.829947  0.005722  0.016261  0.292030
0.854174 -0.000673  0.012227 -0.047023
0.880806 -0.007726  0.007738 -0.879540
0.882808 -0.007679  0.007829 -0.865912
