J       CT       CP       eta
0.091   0.1110   0.0517   0.195
0.110   0.1098   0.0518   0.233
0.132   0.1087   0.0519   0.277
0.152   0.1076   0.0520   0.315
0.173   0.1065   0.0524   0.352
0.197   0.1048   0.0524   0.393
0.218   0.1035   0.0527   0.429
0.244   0.1015   0.0528   0.468
0.263   0.1005   0.0531   0.498
0.284   0.0984   0.0529   0.528
0.308   0.0963   0.0531   0.559
0.327   0.0940   0.0527   0.583
0.349   0.0922   0.0529   0.609
0.373   0.0898   0.0527   0.636
0.396   0.0872   0.0525   0.658
0.414   0.0853   0.0524   0.674
0.434   0.0820   0.0517   0.689
0.458   0.0793   0.0515   0.705
0.479   0.0763   0.0509   0.719
0.501   0.0733   0.0503   0.730
0.522   0.0691   0.0489   0.738
0.546   0.0651   0.0475   0.748
0.571   0.0597   0.0453   0.752
0.593   0.0539   0.0425   0.752
0.616   0.0475   0.0391   0.748
0.636   0.0429   0.0366   0.746
0.658   0.0375   0.0336   0.735
0.682   0.0326   0.0307   0.723
0.699   0.0293   0.0287   0.711
0.723   0.0244   0.0258   0.683
0.749   0.0191   0.0226   0.635
0.763   0.0165   0.0209   0.605
0.789   0.0114   0.0175   0.515
0.811   0.0075   0.0149   0.409
0.831   0.0038   0.0123   0.259
