J         CT        CP        eta
0.092461  0.107658  0.036818  0.270354
0.110678  0.107235  0.037762  0.314298
0.130392  0.105982  0.038164  0.362093
0.151487  0.104213  0.038485  0.410210
0.173818  0.102224  0.038792  0.458039
0.193206  0.099654  0.038915  0.494771
0.213269  0.096686  0.038934  0.529618
0.233835  0.093226  0.038670  0.563727
0.253231  0.089202  0.038083  0.593139
0.274625  0.084642  0.037356  0.622242
0.293798  0.080810  0.036804  0.645070
0.314016  0.076384  0.035782  0.670305
0.334569  0.071337  0.034683  0.688137
0.355731  0.066685  0.033359  0.711112
0.372596  0.061037  0.031499  0.721977
0.394285  0.056857  0.030420  0.736919
0.413002  0.051841  0.028904  0.740750
0.433129  0.046902  0.027258  0.745260
0.452355  0.042453  0.025746  0.745882
0.473059  0.037347  0.023903  0.739115
0.494232  0.032514  0.022177  0.724583
0.515098  0.027579  0.020350  0.698042
0.533862  0.023112  0.018630  0.662306
0.554337  0.018253  0.016692  0.606157
0.573423  0.013719  0.014801  0.531494
0.592478  0.009348  0.012900  0.429335
0.614674  0.004821  0.010874  0.272495
0.633612 -0.000128  0.008654 -0.009375
0.653931 -0.005268  0.006382 -0.539817
0.653026 -0.005244  0.006368 -0.537850
