J       CT       CP       eta
0.101   0.1208   0.0600   0.203
0.135   0.1195   0.0606   0.266
0.158   0.1181   0.0611   0.305
0.183   0.1168   0.0616   0.347
0.209   0.1153   0.0622   0.388
0.238   0.1134   0.0628   0.429
0.264   0.1109   0.0631   0.465
0.292   0.1087   0.0636   0.499
0.315   0.1064   0.0639   0.525
0.343   0.1033   0.0638   0.555
0.366   0.1007   0.0639   0.577
0.397   0.0977   0.0641   0.605
0.418   0.0947   0.0639   0.620
0.444   0.0913   0.0635   0.639
0.469   0.0870   0.0626   0.651
0.496   0.0819   0.0611   0.665
0.501   0.0810   0.0607   0.668
0.523   0.0769   0.0596   0.674
0.525   0.0764   0.0594   0.675
0.552   0.0706   0.0572   0.683
0.575   0.0659   0.0551   0.688
0.599   0.0603   0.0523   0.691
0.627   0.0546   0.0495   0.692
0.653   0.0493   0.0465   0.693
0.680   0.0440   0.0434   0.689
0.708   0.0397   0.0408   0.688
0.732   0.0347   0.0378   0.672
0.763   0.0283   0.0340   0.634
0.789   0.0233   0.0306   0.601
0.817   0.0179   0.0268   0.546
0.842   0.0133   0.0234   0.481
0.867   0.0086   0.0196   0.378
0.895   0.0032   0.0157   0.181
0.921   -0.0018   0.0117   -0.142
0.946   -0.0068   0.0075   -0.849
